C骴igo del organismo;Nombre del organismo;A駉 Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;500.000;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos de personal;Pesos;0;0;0;0;0;0;0;0;0;3537357;3526173;3744644
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;0;0;0;0;0;0;0;0;0;2600474;11183568;28922408
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;40800;137879;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;0;0;0;0;0;0;0;0;0;0;1000000;21050956
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
