codigo_organismo,nombre_organismo,anio_informado,trimestre_informado,item_de_gastos,unidad_monetaria,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de Personal,Pesos,7772346,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,30895341,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de actividades de fomento a la participación femenina,Pesos,500000,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos de personal,Pesos,0,0,0,0,0,0,0,0,0,3537357,3526173,3744644
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,0,0,0,0,0,0,0,0,0,2600474,11183568,28922408
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,40800,137879,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,0,0,0,0,0,0,0,1000000,21050956
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos de Personal,Pesos,15018306,14777680,8465994,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,4131909,258953,1164629,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Otros gastos de administración,Pesos,0,1363038,1604944,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos de personal,Pesos,0,0,0,0,0,0,0,0,0,21983333,NA,NA
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,0,0,0,0,0,0,0,0,0,21273282,NA,NA
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,10500000,NA,NA
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
