Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item de ingresos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
PP030;Partido Ciudadanos (CIU);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;5.020.000
PP031;Partido Todos;2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;29.611
PP031;Partido Todos;2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2016;Oct - Dic;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;1.806.336;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;1.358.465;0;0;0;0;0;0;0;0;0;0;0
PP031;Partido Todos;2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
