Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item;Unidad Monetaria;Monto
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Frutos y productos de los Bienes Patrimoniales;pesos;30.000.000
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Aportes del Estado (art. 33 bis Ley Nª18603);pesos;196.852.765
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Otras Transferencias públicas;pesos;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Otras Transferencias privadas;pesos;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Cotizaciones;pesos;31.390.989
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Donaciones;pesos;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Asignaciones testamentarias;pesos;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Frutos y productos de los Bienes Patrimoniales;pesos;30.000.000
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Aportes del Estado (art. 33 bis Ley Nª18603);pesos;196.852.765
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Otras Transferencias públicas;pesos;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Otras Transferencias privadas;pesos;0
PP026;Partido Unión Demócrata Independiente - UDI;2016;Oct - Dic;Ingresos militantes;Pesos;166.262.013
PP026;Partido Unión Demócrata Independiente - UDI;2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;1.558.888.097
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Cotizaciones;Pesos;36.490.839
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Donaciones;Pesos;0
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;2.190.756
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;229.690.541
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Otras Transferencias públicas;Pesos;0
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Cotizaciones;Pesos;13.796.532
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Donaciones;Pesos;12.626.400
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;0
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;18.961.486
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Otras Transferencias públicas;Pesos;0
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Cotizaciones;Pesos;6.783.483
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Donaciones;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Asignaciones testamentarias;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Frutos y productos de los Bienes Patrimoniales;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;37.654.146
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Otras Transferencias públicas;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Otras Transferencias privadas;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Cotizaciones;Pesos;2.849.134
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Donaciones;Pesos;900.000
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Asignaciones testamentarias;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Frutos y productos de los Bienes Patrimoniales;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Otras Transferencias públicas;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Otras Transferencias privadas;Pesos;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Cotizaciones;Pesos;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Donaciones;Pesos;5.000.000
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Otras Transferencias públicas;Pesos;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Otras Transferencias privadas;Pesos;300.000
PP031;Partido Todos;2016;Oct - Dic;Cotizaciones;Pesos;5020069
PP031;Partido Todos;2016;Oct - Dic;Donaciones;Pesos;0
PP031;Partido Todos;2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
PP031;Partido Todos;2016;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;0
PP031;Partido Todos;2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0
PP031;Partido Todos;2016;Oct - Dic;Otras Transferencias públicas;Pesos;0
PP031;Partido Todos;2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
